x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.1,1957-05-01 00:00:00,NL,1957,5,1,1.7,,0.6,,2.8,,6.6,,6.6,,0,,,,,,,,0,,16.3,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.2,1957-05-02 00:00:00,NL,1957,5,2,1.1,,0,,2.2,,9.9,,6.4,,3.6,,,,,,,,0,,16.9,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.3,1957-05-03 00:00:00,NL,1957,5,3,3.1,,0,,6.1,,1,,1,,0,,,,,,,,0,,14.9,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.4,1957-05-04 00:00:00,NL,1957,5,4,2.5,,1.1,,3.9,,0,,0,,0,,,,,,,,0,,15.5,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.5,1957-05-05 00:00:00,NL,1957,5,5,3.4,,-3.9,,10.6,,0,,0,,0,,,,,,,,0,,14.6,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.6,1957-05-06 00:00:00,NL,1957,5,6,4.5,,-1.7,,10.6,,0,,0,,0,,,,,,,,0,,13.5,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.7,1957-05-07 00:00:00,NL,1957,5,7,11.4,,8.3,,14.4,,2,,2,,0,,,,,,,,0,,6.6,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.8,1957-05-08 00:00:00,NL,1957,5,8,5,,-0.6,,10.6,,0,T,0,T,0,,,,,,,,0,,13,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.9,1957-05-09 00:00:00,NL,1957,5,9,8.3,,4.4,,12.2,,0,,0,,0,,,,,,,,0,,9.7,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.10,1957-05-10 00:00:00,NL,1957,5,10,4.5,,0.6,,8.3,,3.8,,0,,3.8,,,,,,,,0,,13.5,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.11,1957-05-11 00:00:00,NL,1957,5,11,6.1,,1.1,,11.1,,0,,0,,0,,,,,,,,0,,11.9,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.12,1957-05-12 00:00:00,NL,1957,5,12,8.4,,3.9,,12.8,,0,,0,,0,,,,,,,,0,,9.6,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.13,1957-05-13 00:00:00,NL,1957,5,13,8.9,,1.7,,16.1,,14,,14,,0,,,,,,,,0,,9.1,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.14,1957-05-14 00:00:00,NL,1957,5,14,-0.3,,-2.8,,2.2,,0,T,0,T,0,T,,,,,,,0,,18.3,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.15,1957-05-15 00:00:00,NL,1957,5,15,6.2,,0.6,,11.7,,1.8,,1.8,,0,,,,,,,,0,,11.8,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.16,1957-05-16 00:00:00,NL,1957,5,16,5.8,,-1.7,,13.3,,0,,0,,0,,,,,,,,0,,12.2,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.17,1957-05-17 00:00:00,NL,1957,5,17,2.3,,-1.1,,5.6,,0,,0,,0,,,,,,,,0,,15.7,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.18,1957-05-18 00:00:00,NL,1957,5,18,4.7,,-0.6,,10,,0,,0,,0,,,,,,,,0,,13.3,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.19,1957-05-19 00:00:00,NL,1957,5,19,3.4,,-1.1,,7.8,,0,,0,,0,,,,,,,,0,,14.6,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.20,1957-05-20 00:00:00,NL,1957,5,20,7.8,,0,,15.6,,0,T,0,T,0,T,,,,,,,0,,10.2,,,,,
-52.733333333333334,47.583333333333336,ST JOHN'S,8403501,8403501.1957.5.21,1957-05-21 00:00:00,NL,1957,5,21,0.6,,-2.8,,3.9,,0,,0,,0,,,,,,,,0,,17.4,,,,,
