x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.1,1900-07-01 00:00:00,YT,1900,7,1,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.2,1900-07-02 00:00:00,YT,1900,7,2,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.3,1900-07-03 00:00:00,YT,1900,7,3,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.4,1900-07-04 00:00:00,YT,1900,7,4,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.5,1900-07-05 00:00:00,YT,1900,7,5,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.6,1900-07-06 00:00:00,YT,1900,7,6,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.7,1900-07-07 00:00:00,YT,1900,7,7,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.8,1900-07-08 00:00:00,YT,1900,7,8,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.9,1900-07-09 00:00:00,YT,1900,7,9,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.10,1900-07-10 00:00:00,YT,1900,7,10,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.11,1900-07-11 00:00:00,YT,1900,7,11,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.12,1900-07-12 00:00:00,YT,1900,7,12,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.13,1900-07-13 00:00:00,YT,1900,7,13,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.14,1900-07-14 00:00:00,YT,1900,7,14,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.15,1900-07-15 00:00:00,YT,1900,7,15,,M,,M,,M,,,,,,,,,,,,,,M,,M,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.16,1900-07-16 00:00:00,YT,1900,7,16,23.1,,15.6,,30.6,,,,,,,,,,,,,,5.1,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.17,1900-07-17 00:00:00,YT,1900,7,17,20.3,,8.3,,32.2,,,,,,,,,,,,,,2.3,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.18,1900-07-18 00:00:00,YT,1900,7,18,16.1,,11.1,,21.1,,,,,,,,,,,,,,0,,1.9,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.19,1900-07-19 00:00:00,YT,1900,7,19,9.2,,7.2,,11.1,,,,,,,,,,,,,,0,,8.8,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.20,1900-07-20 00:00:00,YT,1900,7,20,15,,3.9,,26.1,,,,,,,,,,,,,,0,,3,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.21,1900-07-21 00:00:00,YT,1900,7,21,20.6,,14.4,,26.7,,,,,,,,,,,,,,2.6,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.22,1900-07-22 00:00:00,YT,1900,7,22,15.9,,10.6,,21.1,,,,,,,,,,,,,,0,,2.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.23,1900-07-23 00:00:00,YT,1900,7,23,17.5,,8.3,,26.7,,,,,,,,,,,,,,0,,0.5,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.24,1900-07-24 00:00:00,YT,1900,7,24,20,,11.7,,28.3,,,,,,,,,,,,,,2,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.25,1900-07-25 00:00:00,YT,1900,7,25,19.5,,10.6,,28.3,,,,,,,,,,,,,,1.5,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.26,1900-07-26 00:00:00,YT,1900,7,26,18.4,,11.1,,25.6,,,,,,,,,,,,,,0.4,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.27,1900-07-27 00:00:00,YT,1900,7,27,17.8,,6.7,,28.9,,,,,,,,,,,,,,0,,0.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.28,1900-07-28 00:00:00,YT,1900,7,28,18.9,,11.7,,26.1,,,,,,,,,,,,,,0.9,,0,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.29,1900-07-29 00:00:00,YT,1900,7,29,16.7,,11.1,,22.2,,,,,,,,,,,,,,0,,1.3,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.30,1900-07-30 00:00:00,YT,1900,7,30,16.4,,6.7,,26.1,,,,,,,,,,,,,,0,,1.6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.7.31,1900-07-31 00:00:00,YT,1900,7,31,15.6,,5,,26.1,,,,,,,,,,,,,,0,,2.4,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.1,1900-08-01 00:00:00,YT,1900,8,1,11.4,,5,,17.8,,,,,,,,,,,,,,0,,6.6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.2,1900-08-02 00:00:00,YT,1900,8,2,14.8,,5.6,,23.9,,,,,,,,,,,,,,0,,3.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.3,1900-08-03 00:00:00,YT,1900,8,3,15.3,,8.3,,22.2,,,,,,,,,,,,,,0,,2.7,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.4,1900-08-04 00:00:00,YT,1900,8,4,12.3,,7.8,,16.7,,,,,,,,,,,,,,0,,5.7,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.5,1900-08-05 00:00:00,YT,1900,8,5,12.8,,7.2,,18.3,,,,,,,,,,,,,,0,,5.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.6,1900-08-06 00:00:00,YT,1900,8,6,11.9,,4.4,,19.4,,,,,,,,,,,,,,0,,6.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.7,1900-08-07 00:00:00,YT,1900,8,7,16.1,,11.1,,21.1,,,,,,,,,,,,,,0,,1.9,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.8,1900-08-08 00:00:00,YT,1900,8,8,17.5,,9.4,,25.6,,,,,,,,,,,,,,0,,0.5,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.9,1900-08-09 00:00:00,YT,1900,8,9,16.7,,11.7,,21.7,,,,,,,,,,,,,,0,,1.3,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.10,1900-08-10 00:00:00,YT,1900,8,10,15.3,,9.4,,21.1,,,,,,,,,,,,,,0,,2.7,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.11,1900-08-11 00:00:00,YT,1900,8,11,11.7,,7.2,,16.1,,,,,,,,,,,,,,0,,6.3,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.12,1900-08-12 00:00:00,YT,1900,8,12,8.9,,2.2,,15.6,,,,,,,,,,,,,,0,,9.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.13,1900-08-13 00:00:00,YT,1900,8,13,11.4,,5,,17.8,,,,,,,,,,,,,,0,,6.6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.14,1900-08-14 00:00:00,YT,1900,8,14,11.4,,6.1,,16.7,,,,,,,,,,,,,,0,,6.6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.15,1900-08-15 00:00:00,YT,1900,8,15,10.9,,3.9,,17.8,,,,,,,,,,,,,,0,,7.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.16,1900-08-16 00:00:00,YT,1900,8,16,9.2,,1.7,,16.7,,,,,,,,,,,,,,0,,8.8,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.17,1900-08-17 00:00:00,YT,1900,8,17,10.9,,5.6,,16.1,,,,,,,,,,,,,,0,,7.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.18,1900-08-18 00:00:00,YT,1900,8,18,11.7,,6.7,,16.7,,,,,,,,,,,,,,0,,6.3,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.19,1900-08-19 00:00:00,YT,1900,8,19,10.3,,3.3,,17.2,,,,,,,,,,,,,,0,,7.7,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.20,1900-08-20 00:00:00,YT,1900,8,20,8.1,,-1.7,,17.8,,,,,,,,,,,,,,0,,9.9,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.21,1900-08-21 00:00:00,YT,1900,8,21,10.3,,3.9,,16.7,,,,,,,,,,,,,,0,,7.7,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.22,1900-08-22 00:00:00,YT,1900,8,22,8.9,,6.1,,11.7,,,,,,,,,,,,,,0,,9.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.23,1900-08-23 00:00:00,YT,1900,8,23,7.5,,1.1,,13.9,,,,,,,,,,,,,,0,,10.5,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.24,1900-08-24 00:00:00,YT,1900,8,24,10.9,,5.6,,16.1,,,,,,,,,,,,,,0,,7.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.25,1900-08-25 00:00:00,YT,1900,8,25,12,,8.3,,15.6,,,,,,,,,,,,,,0,,6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.26,1900-08-26 00:00:00,YT,1900,8,26,11.1,,6.1,,16.1,,,,,,,,,,,,,,0,,6.9,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.27,1900-08-27 00:00:00,YT,1900,8,27,6.1,,1.1,,11.1,,,,,,,,,,,,,,0,,11.9,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.28,1900-08-28 00:00:00,YT,1900,8,28,9.2,,7.8,,10.6,,,,,,,,,,,,,,0,,8.8,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.29,1900-08-29 00:00:00,YT,1900,8,29,12,,8.9,,15,,,,,,,,,,,,,,0,,6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.30,1900-08-30 00:00:00,YT,1900,8,30,8.9,,3.3,,14.4,,,,,,,,,,,,,,0,,9.1,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1900.8.31,1900-08-31 00:00:00,YT,1900,8,31,10.8,,7.2,,14.4,,,,,,,,,,,,,,0,,7.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.1,1904-11-01 00:00:00,YT,1904,11,1,-7.5,,-15,,0,,6.4,,0,,6.4,,,,,,,,0,,25.5,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.2,1904-11-02 00:00:00,YT,1904,11,2,-9.2,,-13.9,,-4.4,,0,,0,,0,,,,,,,,0,,27.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.3,1904-11-03 00:00:00,YT,1904,11,3,-2,,-6.1,,2.2,,0,,0,,0,,,,,,,,0,,20,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.4,1904-11-04 00:00:00,YT,1904,11,4,-4.2,,-9.4,,1.1,,1.3,,0,,1.3,,,,,,,,0,,22.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.5,1904-11-05 00:00:00,YT,1904,11,5,-5,,-11.1,,1.1,,0,,0,,0,,,,,,,,0,,23,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.6,1904-11-06 00:00:00,YT,1904,11,6,-5.3,,-11.7,,1.1,,0,,0,,0,,,,,,,,0,,23.3,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.7,1904-11-07 00:00:00,YT,1904,11,7,-5.6,,-12.2,,1.1,,0.8,,0,,0.8,,,,,,,,0,,23.6,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.8,1904-11-08 00:00:00,YT,1904,11,8,-2.2,,-9.4,,5,,1.3,,0,,1.3,,,,,,,,0,,20.2,,,,,
-135.05,60.71666666666667,WHITEHORSE,2101290,2101290.1904.11.9,1904-11-09 00:00:00,YT,1904,11,9,2,,-2.2,,6.1,,0.5,,0.5,,0,,,,,,,,0,,16,,,,,
