x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.4,2002-06-04 00:00:00,ON,2002,6,4,11.6,,9.1,,14.1,,4.8,,,M,,M,,,,M,,M,0,,6.4,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.5,2002-06-05 00:00:00,ON,2002,6,5,17.4,,11.3,,23.5,,3.4,,,M,,M,,,,M,,M,0,,0.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.6,2002-06-06 00:00:00,ON,2002,6,6,15.3,,12.8,,17.8,,0,,,M,,M,,,,M,,M,0,,2.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.7,2002-06-07 00:00:00,ON,2002,6,7,16.2,,11,,21.4,,0,,,M,,M,,,,M,,M,0,,1.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.8,2002-06-08 00:00:00,ON,2002,6,8,18.3,,11.7,,24.9,,0,,,M,,M,,,,M,,M,0.3,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.9,2002-06-09 00:00:00,ON,2002,6,9,23.2,,17.9,,28.4,,0,,,M,,M,,,,M,,M,5.2,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.10,2002-06-10 00:00:00,ON,2002,6,10,19.4,,16.3,,22.4,,0,,,M,,M,,,,M,,M,1.4,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.11,2002-06-11 00:00:00,ON,2002,6,11,23.4,,15.6,,31.2,,2.2,,,M,,M,,,,M,,M,5.4,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.12,2002-06-12 00:00:00,ON,2002,6,12,18.6,,14.7,,22.4,,0.4,,,M,,M,,,,M,,M,0.6,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.13,2002-06-13 00:00:00,ON,2002,6,13,19.2,,15,,23.3,,0.2,,,M,,M,,,,M,,M,1.2,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.14,2002-06-14 00:00:00,ON,2002,6,14,16.9,,14.1,,19.6,,3.8,,,M,,M,,,,M,,M,0,,1.1,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.15,2002-06-15 00:00:00,ON,2002,6,15,17.1,,14.4,,19.8,,8.8,,,M,,M,,,,M,,M,0,,0.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.16,2002-06-16 00:00:00,ON,2002,6,16,16.3,,13.5,,19.1,,3.2,,,M,,M,,,,M,,M,0,,1.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.17,2002-06-17 00:00:00,ON,2002,6,17,16.3,,12.6,,19.9,,0.2,,,M,,M,,,,M,,M,0,,1.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.18,2002-06-18 00:00:00,ON,2002,6,18,17.4,,11.4,,23.3,,0,,,M,,M,,,,M,,M,0,,0.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.19,2002-06-19 00:00:00,ON,2002,6,19,19,,14,,24,,0,,,M,,M,,,,M,,M,1,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.20,2002-06-20 00:00:00,ON,2002,6,20,22.1,,15.5,,28.6,,0,,,M,,M,,,,M,,M,4.1,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.21,2002-06-21 00:00:00,ON,2002,6,21,24.2,,18.5,,29.9,,14.6,,,M,,M,,,,M,,M,6.2,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.22,2002-06-22 00:00:00,ON,2002,6,22,23.3,,19,,27.6,,0,,,M,,M,,,,M,,M,5.3,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.23,2002-06-23 00:00:00,ON,2002,6,23,26,,18.4,,33.5,,0,,,M,,M,,,,M,,M,8,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.24,2002-06-24 00:00:00,ON,2002,6,24,20.5,,16.9,,24,,0,,,M,,M,,,,M,,M,2.5,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.25,2002-06-25 00:00:00,ON,2002,6,25,23,,16.6,,29.3,,0,,,M,,M,,,,M,,M,5,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.26,2002-06-26 00:00:00,ON,2002,6,26,26,,21.3,,30.6,,3,,,M,,M,,,,M,,M,8,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.27,2002-06-27 00:00:00,ON,2002,6,27,23.7,,19.7,,27.7,,3.4,,,M,,M,,,,M,,M,5.7,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.28,2002-06-28 00:00:00,ON,2002,6,28,23.3,,18.2,,28.3,,0,,,M,,M,,,,M,,M,5.3,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.29,2002-06-29 00:00:00,ON,2002,6,29,23.7,,18,,29.3,,0,,,M,,M,,,,M,,M,5.7,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.6.30,2002-06-30 00:00:00,ON,2002,6,30,25.8,,20.2,,31.4,,0,,,M,,M,,,,M,,M,7.8,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.7.1,2002-07-01 00:00:00,ON,2002,7,1,27.5,,21.6,,33.3,,0,,,M,,M,,,,M,,M,9.5,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.7.2,2002-07-02 00:00:00,ON,2002,7,2,30,,24.8,,35.1,,0,,,M,,M,,,,M,,M,12,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.7.3,2002-07-03 00:00:00,ON,2002,7,3,29.9,,25.2,,34.5,,0,,,M,,M,,,,M,,M,11.9,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.7.4,2002-07-04 00:00:00,ON,2002,7,4,25.9,,19.5,,32.3,,0,,,M,,M,,,,M,,M,7.9,,0,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2002.7.5,2002-07-05 00:00:00,ON,2002,7,5,20.8,,15.9,,25.7,,0,,,M,,M,,,,M,,M,2.8,,0,,,,,
