PANGNIRTUNG A,2403053
POND INLET A,2403201
REA POINT,2403450
REPULSE BAY A,2403490
ROWLEY ISLAND,2403625
TALOYOAK A,2403854
HOLMAN,2502500
ULUKHAKTOK A,2502501
CORONATION (AUT),3011885
LLOYDMINSTER A,3013961
ROCKY MTN HOUSE,3015520
ROCKY MTN HOUSE A,3015522
VERMILION A,3016800
ESTHER 1,301B460
WAINWRIGHT CFB AIRFIELD 21,301S001
DRUMHELLER EAST,30221LG
SUNDRE A,3026KNQ
CLARESHOLM,3031640
PINCHER CREEK,3035201
PINCHER CREEK A,3035202
PINCHER CREEK (AUT),3035206
SPRINGBANK A,303F0PP
MILK RIVER,3044533
BANFF,3050519
BANFF (AUT),3050521
EDSON A,3062244
LAC LA BICHE (AUT),3063685
SLAVE LAKE A,3066001
WAGNER,3066920
WHITECOURT,3067373
WHITECOURT A,3067372
FORT CHIPEWYAN A,3072658
HIGH LEVEL A,3073145
RED EARTH,3075488
WYNYARD,40190LN
LUCKY LAKE,4024714
KINDERSLEY A,4043900
KINDERSLEY KY,4043920
BUFFALO NARROWS A,4060982
COLLINS BAY,4061630
CREE LAKE,4061861
KEY LAKE A,4063759
MEADOW LAKE A,4065058
SPIRITWOOD WEST,4067723
STONY RAPIDS A,4067PR5
URANIUM CITY A,4068340
NIPAWIN A,4075518
HUDSON BAY,4083323
HUDSON BAY A,4083321
PORTAGE SOUTHPORT A,5012320
RIVERS A,5012440
SHILO,5012672
EMERSON AUT,5020882
BISSETT,5030282
GEORGE ISLAND (AUT),5030984
GIMLI,5031042
GIMLI A,5031040
GIMLI INDUSTRIAL PARK,50310D0
OAKPOINT MARINE,504K0NM
GILLAM,5061022
GILLAM A,5061001
LYNN LAKE A,5061646
WABOWDEN,5063040
NORWAY HOUSE A,506B047
BIG TROUT LAKE,6010738
BIG TROUT LAKE READAC,6010739
LANSDOWNE HOUSE,6014350
PICKLE LAKE A,6016527
ATIKOKAN,6020LPQ
DRYDEN A,6032119
ROYAL ISLAND (AUT),6037201
ARMSTRONG (AUT),6040325
CARIBOU ISLAND (AUT),6041222
GERALDTON,6042717
