TESLIN A,2101100
DELTA SUNSHINE HILLS,1102422
108 MILE HOUSE ABEL LAKE,109E7R6
MCLEESE LAKE GRANITE MT,1095018
HYLAND POST,1203640
KELOWNA DAV-SPIERS ROAD,1123982
VANCOUVER SOUTH FRASER,1108475
REVELSTOKE AIRPORT RD,1176751
HOLBERG,1033479
LAZO,1024592
SURREY KWANTLEN PARK,1107873
LILLOOET FOUNTAINVIEW,1114622
N VANCOUVER REDONDA DR,110N6F5
GOLDSTREAM RIVER BREWSTER CREEK,1173BDB
THIMBLE RANCH,1168A5H
BELLA BELLA,1060815
GALIANO SOUTH,101C04E
KOOTENAY BAY,1144388
MONTE LAKE,1165197
DAWSON,2100400
BRYN MYRDDIN FARM,2100174
PEMBERTON AIRPORT CS,1086082
SCHAFT CREEK,1207126
HOOPATATKWA LAKE,1163530
HORSE LAKE FAWN CREEK,1163596
N VANCOUVER CANYON HTS,1105652
HOUSTON GOOSLY LAKE,1073616
ESQUIMALT LAGOON,1012707
NORCO COAL,1095617
WHISTLER MOUNTAIN MID-STATION,1108990
KIRTON,1124260
CANIM LAKE EAGLE CREEK,1161306
LOST LAKE,120DP19
MASSET A,1054929
TRIANGLE ISLAND,1038240
ANAHIM LAKE 5 MILE RANCH,1080432
NANAIMO WATER RESERVOIR,1025371
NAKUSP GLENBANK,1145303
PENTICTON,1126145
CHILLIWACK R HATCHERY,1101N65
HIGHLAND VALLEY,1163465
LOWER POST,1194722
VICTORIA SHORT STREET,101QFEG
CRESCENT SPUR,1092120
N VANCOUVER UPR LONSDALE,1105667
ENDERBY,1162680
PEMBERTON HATCHERY,1116084
SUMAS PRAIRIE,1107788
SUNNYDALE,2101062
SCUDDER POINT,1057133
ANVIL ISLAND,1040445
WINDERMERE 2,115HR57
BEAVER CREEK A,2100155
SEYMOUR ARM NINE MILE LIGHT,1167194
COWICHAN LAKE NITINAT,1012052
ATNARKO PARKS CAMP,1080562
RICHMOND GEAL RD,1106P6N
RICHMOND NELSON RD,1106768
NADINA RIVER,1085279
TARRYS,1147995
FRENCH CREEK,1023037
ARAWANA,1120M47
WHITEHORSE WSO,2101415
FERGUSON,1142845
LAC LA HACHE DINGWALL CREEK,1094456
BURNABY EDMONDS,1101151
TELKWA WOODMERE RD,1078086
MCCULLOCH,1124980
FARO,2100516
REDSTONE,1096691
VICTORIA NORTH DAIRY RD,1018648
SURREY GUILDFORD,110GQPB
PASSMORE,114Q3C9
VANCOUVER FAIRVIEW,1108442
VANCOUVER GRANDVIEW N,110HD4N
RICHMOND MCLENNAN ROAD,1106766
JOHNNY MOUNTAIN,120CPNA
RISKE CREEK FTP,1096775
TELEGRAPH CREEK,1208041
CHILLIWACK R CENTRE CRK,1101564
HOUSTON,1073612
OSOYOOS,1125850
MATSQUI,1104927
CLOVERVALLEY FRYS CORNER,1101709
COWICHAN LAKE HATCHERY,1012046
ROSSWOOD,1076886
HART RIVER,2100632
HENDERSON LAKE HATCHERY,1033456
MUIR CREEK 1W,1015242
NECHAKO RIVER (AUT),1085415
BELLA BELLA A,1060811
CLEARWATER SUNSHINE,1161656
BUFFALO LAKE,1161104
KILDALA,1064138
VICTORIA GONZALES HTS,1018610
CARIBOO LODGE,1171393
KLEENA KLEENE,1084349
GOLD RIVER,1033230
ALEXIS CREEK TAUTRI CRK,1080289
BLACK CREEK,1020880
FORTY MILE,2100605
PENDER ISLAND,1016120
BRIDGE LAKE 2,1160986
ANVIL,2100120
ROSSLAND MACLEAN,1146874
OLD CROW A,2100800
